Run on (16 X 3396.38 MHz CPU s)
2016-12-02 12:58:28
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM<cpuGather<Mat>, Mat>/1024M/1024",11,64.7254,64.7177,ms,,4.14779e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/2k",11,64.5421,64.5317,ms,,4.15974e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/4k",11,64.9879,64.9757,ms,,4.13132e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/8k",11,64.9706,64.9556,ms,,4.1326e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/16k",11,64.7237,64.7097,ms,,4.14831e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/32k",11,64.7841,64.7709,ms,,4.14438e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/64k",11,64.8967,64.8897,ms,,4.13679e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/128k",11,64.8793,64.8715,ms,,4.13796e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/256k",8,87.6097,87.5984,ms,,3.06439e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/512k",7,104.468,104.454,ms,,2.56988e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/1024k",6,110.119,110.105,ms,,2.43798e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/2M",6,113.103,113.073,ms,,2.374e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/4M",6,117.766,117.754,ms,,2.27963e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/8M",6,119.914,119.898,ms,,2.23887e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/16M",5,134.393,134.378,ms,,1.99762e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/32M",5,128.889,128.855,ms,,2.08323e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/64M",5,140.888,140.869,ms,,1.90557e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/128M",4,169.053,169.03,ms,,1.5881e+09,,,
"BM<cpuGather<Mat>, Mat>/1024M/256M",2,294.898,294.186,ms,,9.12468e+08,,,
"BM<cpuGather<Mat>, Mat>/1024M/512M",2,408.998,408.946,ms,,6.56408e+08,,,
"BM<cpuGather<Mat>, Mat>/1024M/1024M",2,493.504,493.439,ms,,5.44009e+08,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/1024",24,32.414,29.9139,ms,,8.9736e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/2k",23,30.0188,29.6415,ms,,9.05608e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/4k",24,30.0397,29.6687,ms,,9.04777e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/8k",24,30.0691,29.6583,ms,,9.05095e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/16k",24,31.0647,29.7828,ms,,9.0131e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/32k",23,33.149,29.9282,ms,,8.96933e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/64k",22,32.5563,31.5828,ms,,8.49941e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/128k",22,31.7392,31.664,ms,,8.47762e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/256k",18,39.4963,39.4918,ms,,6.79725e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/512k",13,52.5081,52.4044,ms,,5.12239e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/1024k",12,60.6192,60.6133,ms,,4.42865e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/2M",11,63.1073,63.1013,ms,,4.25404e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/4M",11,75.1976,75.1897,ms,,3.57011e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/8M",11,83.335,83.305,ms,,3.22232e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/16M",10,80.0312,80.0235,ms,,3.35446e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/32M",9,77.6438,77.6368,ms,,3.45758e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/64M",8,88.1132,88.1014,ms,,3.04689e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/128M",6,120.76,120.744,ms,,2.22318e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/256M",3,208.162,207.358,ms,,1.29455e+09,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/512M",2,340.442,340.401,ms,,7.88586e+08,,,
"BM<cpuGather<NoMat>, NoMat>/1024M/1024M",2,427.817,427.762,ms,,6.27535e+08,,,
"BM<cpuGather<OnlyMat>, OnlyMat>/1024M/1024",11,65.0029,64.9866,ms,3.3045e+10,4.13063e+09,,,
"BM<cpuGather<OnlyMat>, OnlyMat>/1024M/1024M",11,64.7129,64.6987,ms,3.31921e+10,4.14901e+09,,,
"BM_gather_buffer_test/64k/64k",3660,190690,190672,ns,,,,,
