Run on (16 X 1200.5 MHz CPU s)
2016-12-02 13:03:19
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GPU_BM<Mat, kDefaultTpB>/1024M/1024",55,12.6896,12.6883,ms,,2.11561e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/2k",52,12.8058,12.8045,ms,,2.09641e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/4k",55,12.7813,12.7802,ms,,2.10041e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/8k",55,12.806,12.8048,ms,,2.09636e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/16k",54,12.8992,12.8979,ms,,2.08124e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/32k",36,19.6394,19.6375,ms,,1.36695e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/64k",37,18.894,18.8923,ms,,1.42088e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/128k",36,19.257,19.2547,ms,,1.39413e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/256k",37,19.1349,19.133,ms,,1.40299e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/512k",37,19.657,19.6549,ms,,1.36574e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/1024k",36,19.3327,19.3309,ms,,1.38864e+10,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/2M",11,62.7384,62.7304,ms,,4.27919e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/4M",6,108.839,108.83,ms,,2.46657e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/8M",5,133.326,133.313,ms,,2.01357e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/16M",5,147.363,147.349,ms,,1.82176e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/32M",5,155.007,154.992,ms,,1.73193e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/64M",4,159.468,159.448,ms,,1.68353e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/128M",4,161.301,161.285,ms,,1.66435e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/256M",4,162.095,162.08,ms,,1.65619e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/512M",4,193.069,193.05,ms,,1.3905e+09,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/1024M",3,223.205,223.184,ms,,1.20275e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/1024",84,8.38712,8.3863,ms,,3.20088e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/2k",82,8.35722,8.35642,ms,,3.21233e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/4k",84,8.35729,8.35525,ms,,3.21278e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/8k",84,8.35819,8.3556,ms,,3.21264e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/16k",83,8.45786,8.45487,ms,,3.17492e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/32k",39,18.0012,17.9995,ms,,1.49135e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/64k",42,16.7325,16.7309,ms,,1.60443e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/128k",39,16.9113,16.9096,ms,,1.58747e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/256k",42,16.5914,16.5899,ms,,1.61806e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/512k",42,16.6127,16.611,ms,,1.61601e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/1024k",42,16.6895,16.6879,ms,,1.60857e+10,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/2M",12,53.8572,53.8519,ms,,4.9847e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/4M",7,105.106,105.096,ms,,2.55418e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/8M",5,130.621,130.608,ms,,2.05528e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/16M",5,145.076,145.063,ms,,1.85048e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/32M",5,152.884,152.869,ms,,1.75598e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/64M",4,157.483,157.468,ms,,1.7047e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/128M",4,159.284,159.269,ms,,1.68543e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/256M",4,160.131,160.116,ms,,1.6765e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/512M",4,192.804,192.785,ms,,1.39241e+09,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/1024M",3,223.027,223.006,ms,,1.20371e+09,,,
"GPU_BM<OnlyMat, kDefaultTpB>/1024M/1024",55,12.725,12.7208,ms,1.68817e+11,2.11021e+10,,,
"GPU_BM<OnlyMat, kDefaultTpB>/1024M/1024M",55,12.7233,12.7197,ms,1.68832e+11,2.1104e+10,,,
"GPU_BM<OnlyWrite, kDefaultTpB>/1024M/1024",84,8.35519,8.35259,ms,,3.2138e+10,,,
"GPU_BM<OnlyWrite, kDefaultTpB>/1024M/1024M",84,8.49336,8.4906,ms,,3.16156e+10,,,
