Run on (16 X 1670.75 MHz CPU s)
2016-12-02 12:34:14
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GPU_BM<Mat, kDefaultTpB>/1024M/1024",55,12.8875,12.8862,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/2k",55,12.7672,12.766,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/4k",55,12.7842,12.7806,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/8k",55,12.8097,12.8052,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/16k",54,12.9005,12.8926,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/32k",36,19.6381,19.6361,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/64k",33,18.8925,18.8906,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/128k",36,19.2557,19.2533,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/256k",37,19.1362,19.1343,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/512k",37,19.0812,19.0788,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/1024k",36,19.3313,19.3293,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/2M",11,62.6315,62.6236,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/4M",6,108.397,108.386,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/8M",5,133.629,133.615,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/16M",5,147.204,147.185,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/32M",5,155.214,155.195,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/64M",4,159.489,159.474,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/128M",4,161.196,161.181,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/256M",4,162.182,162.118,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/512M",3,193.08,193.013,ms,,,,,
"GPU_BM<Mat, kDefaultTpB>/1024M/1024M",3,223.209,223.138,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/1024",84,8.38777,8.36393,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/2k",84,8.35691,8.35604,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/4k",84,8.35874,8.35797,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/8k",84,8.35964,8.35883,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/16k",83,8.46054,8.45974,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/32k",39,17.9934,17.9916,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/64k",42,16.7879,16.7864,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/128k",41,16.9201,16.9185,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/256k",42,16.5928,16.5913,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/512k",42,16.6113,16.6098,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/1024k",42,16.6918,16.6901,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/2M",13,55.968,55.9628,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/4M",7,104.909,104.895,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/8M",5,130.727,130.709,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/16M",5,144.918,144.899,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/32M",5,153.186,153.172,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/64M",4,157.4,157.384,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/128M",4,159.42,159.405,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/256M",4,160.255,160.233,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/512M",3,192.809,192.789,ms,,,,,
"GPU_BM<NoMat, kDefaultTpB>/1024M/1024M",3,223.05,223.028,ms,,,,,
"GPU_BM<OnlyMat, kDefaultTpB>/1024M/1024",55,12.7251,12.7234,ms,1.68782e+11,,,,
"GPU_BM<OnlyMat, kDefaultTpB>/1024M/1024M",55,12.7249,12.7236,ms,1.6878e+11,,,,
"GPU_BM<OnlyWrite, kDefaultTpB>/1024M/1024",84,8.35646,8.35536,ms,,,,,
"GPU_BM<OnlyWrite, kDefaultTpB>/1024M/1024M",80,8.35455,8.35378,ms,,,,,
